Rk,Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO
62,Rickey Henderson HOF,2002-02-13,Boston Red Sox,SDP,43,3.0,23,2979,10710,2248,3000,290,1094,1395,2141,.280,.402,.420,.823,,,,,,,,,,,,
63,Bobby Chouinard,2002-02-12,Colorado Rockies,COL,30,1.1,5,111,8,1,1,0,0,0,0,.125,.125,.125,.250,11,8,4.57,1.448,111,13,1,181.0,197,26,65,110
64,Todd Erdos,2002-02-12,Boston Red Sox,BOS,28,-0.0,5,63,3,0,0,0,0,0,0,.000,.000,.000,.000,2,0,5.57,1.601,63,0,2,93.2,105,12,45,58
65,Mike Lansing,2002-02-12,Cleveland Indians,BOS,34,-1.3,9,1110,4150,554,1124,84,440,119,299,.271,.324,.401,.725,,,,,,,,,,,,
66,Mike Mohler,2002-02-12,Los Angeles Dodgers,ARI,33,-0.9,9,349,4,0,1,0,0,0,0,.250,.250,.250,.500,14,27,4.99,1.583,347,20,10,417.0,428,45,232,281
67,Micah Franklin,2002-02-11,Arizona Diamondbacks,MIL,30,,4,,,,,,,,,,,,,,,,,,,,,,,,
68,Marc Wilkins,2002-02-11,Tampa Bay Devil Rays,PIT,31,0.4,6,245,20,1,3,0,2,0,2,.150,.227,.150,.377,19,14,4.28,1.469,245,2,3,294.2,278,23,155,218
69,Bruce Aven,2002-02-09,Cleveland Indians,LAD,30,1.8,4,252,592,84,164,20,103,5,53,.277,.344,.441,.785,,,,,,,,,,,,
70,Israel Alcantara,2002-02-08,Milwaukee Brewers,BOS,29,-0.0,2,35,83,12,23,4,10,1,6,.277,.326,.446,.772,,,,,,,,,,,,
71,Midre Cummings,2002-02-08,Milwaukee Brewers,ARI,30,0.5,9,436,1057,126,271,20,117,8,89,.256,.316,.381,.698,,,,,,,,,,,,
72,Al Martin,2002-02-08,St. Louis Cardinals,SEA,34,3.4,10,1132,4004,645,1112,129,459,171,373,.278,.341,.449,.790,,,,,,,,,,,,
73,Omar Olivares,2002-02-08,Cleveland Indians,PIT,34,1.9,12,364,242,25,58,5,29,0,6,.240,.257,.351,.608,77,86,4.67,1.485,349,229,4,1591.2,1678,159,685,853
74,Tim Bogar,2002-02-07,Colorado Rockies,LAD,35,-0.4,9,701,1516,180,345,24,161,13,143,.228,.298,.332,.631,,,,,,,,,,,,
75,Dave Berg,2002-02-06,Toronto Blue Jays,FLA,31,1.8,4,354,911,109,249,10,83,8,92,.273,.343,.373,.716,,,,,,,,,,,,
76,Jeff Abbott,2002-02-05,Boston Red Sox,FLA,29,-0.6,5,233,596,82,157,18,83,6,38,.263,.307,.416,.724,,,,,,,,,,,,
77,Manny Aybar,2002-02-05,San Francisco Giants,TBD,30,-0.7,5,170,69,6,13,1,5,0,2,.188,.211,.232,.443,16,18,5.14,1.496,168,28,3,348.1,362,43,159,233
78,Jon Nunnally,2002-02-05,Kansas City Royals,KCR,30,-0.1,6,,,,,,,,,,,,,,,,,,,,,,,,
79,Manny Alexander,2002-02-04,New York Yankees,SEA,31,-0.5,8,541,1198,161,280,15,108,37,81,.234,.285,.328,.613,,,,,,,,,,,,
80,Brad Clontz,2002-02-04,San Diego Padres,ATL,31,0.9,6,,,,,,,,,,,,,,,,,,,,,,,,
81,Ricky Bones,2002-02-01,Los Angeles Dodgers,FLA,33,-0.4,11,379,20,3,2,0,3,0,3,.100,.200,.100,.300,63,82,4.85,1.475,375,164,1,1278.1,1422,167,464,564
82,Robinson Cancel,2002-02-01,Oakland Athletics,MIL,26,-0.3,1,15,44,5,8,0,5,0,2,.182,.234,.227,.461,,,,,,,,,,,,
83,Brooks Kieschnick,2002-02-01,Cleveland Indians,COL,30,-0.4,4,113,173,20,38,8,27,1,19,.220,.297,.405,.701,,,,,,,,,,,,
84,Kenny Lofton,2002-02-01,Chicago White Sox,CLE,35,10.8,11,1366,5439,1050,1642,92,551,479,663,.302,.377,.425,.802,,,,,,,,,,,,
85,Rudy Seanez,2002-02-01,Texas Rangers,ATL,33,1.9,10,242,4,1,0,0,0,0,1,.000,.200,.000,.200,16,13,4.32,1.400,242,0,11,245.2,214,24,130,238
86,Chris Widger,2002-02-01,New York Yankees,SEA,31,1.1,6,467,1426,143,342,50,183,10,112,.240,.298,.410,.709,,,,,,,,,,,,
87,Pat Mahomes,2002-01-31,Chicago Cubs,TEX,31,0.8,9,286,34,5,10,0,4,0,1,.294,.314,.412,.726,41,37,5.57,1.599,283,60,5,654.0,683,111,363,416
88,Donne Wall,2002-01-31,Anaheim Angels,NYM,34,1.9,7,218,68,6,12,0,1,0,3,.176,.211,.191,.402,31,28,4.09,1.322,217,37,2,453.0,451,59,148,309
89,James Baldwin,2002-01-30,Seattle Mariners,LAD,30,6.7,7,196,39,1,3,0,2,0,0,.077,.077,.154,.231,72,59,4.98,1.450,196,177,0,1095.0,1176,160,412,719
90,Deivi Cruz,2002-01-30,San Diego Padres,DET,29,4.3,5,703,2405,258,652,37,277,12,69,.271,.293,.390,.683,,,,,,,,,,,,
91,Aaron Holbert,2002-01-30,Seattle Mariners,TOR,29,,1,1,3,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,,,
92,Pokey Reese,2002-01-30,Pittsburgh Pirates,BOS,29,5.6,5,604,2061,279,516,36,180,120,159,.250,.308,.363,.671,,,,,,,,,,,,
93,John Valentin,2002-01-30,New York Mets,BOS,35,0.8,10,991,3709,596,1043,121,528,47,441,.281,.361,.460,.821,,,,,,,,,,,,
94,Mike James,2002-01-29,Colorado Rockies,STL,34,0.4,6,276,2,1,0,0,0,0,0,.000,.000,.000,.000,16,14,3.60,1.378,275,0,11,302.2,273,28,144,237
95,Ricky Ledee,2002-01-29,Philadelphia Phillies,TEX,28,-0.4,4,345,1038,150,254,25,165,23,117,.245,.322,.398,.720,,,,,,,,,,,,
96,Dan Miceli,2002-01-29,Texas Rangers,COL,31,-0.1,9,439,19,0,1,0,0,0,0,.053,.053,.053,.105,33,36,4.72,1.449,439,9,32,494.0,494,64,222,449
97,Julio Mosquera,2002-01-29,Texas Rangers,NYY,30,,2,11,30,2,7,0,2,0,0,.233,.258,.333,.591,,,,,,,,,,,,
98,Bo Porter,2002-01-29,Colorado Rockies,TEX,29,-0.6,3,89,126,23,27,2,8,3,13,.214,.284,.333,.617,,,,,,,,,,,,
99,Luis Saturria,2002-01-29,St. Louis Cardinals,STL,25,-0.1,2,25,10,1,1,0,1,1,1,.100,.182,.200,.382,,,,,,,,,,,,
100,Larry Sutton,2002-01-29,Oakland Athletics,MIN,32,-0.7,5,237,548,60,132,11,74,4,53,.241,.307,.350,.657,,,,,,,,,,,,
101,Bryan Ward,2002-01-29,Chicago Cubs,BOS,30,-0.4,3,,,,,,,,,,,,,,,,,,,,,,,,
102,Ron Coomer,2002-01-28,New York Yankees,CHC,35,-0.1,7,787,2746,308,758,85,417,13,161,.276,.315,.426,.740,,,,,,,,,,,,
103,John Mabry,2002-01-28,Philadelphia Phillies,FLA,31,-2.0,8,814,2361,264,640,55,285,6,180,.271,.325,.398,.723,0,0,63.00,10.000,2,0,0,1.0,6,0,4,0
104,Tom Martin,2002-01-28,Tampa Bay Devil Rays,NYM,32,-0.6,5,120,6,0,0,0,0,0,0,.000,.000,.000,.000,8,5,5.32,1.627,120,0,2,130.1,149,14,63,86
105,Ismael Valdez,2002-01-28,Texas Rangers,ANA,28,4.8,8,225,327,14,40,1,11,4,10,.122,.148,.147,.295,72,74,3.70,1.266,224,197,1,1295.2,1264,146,376,930
106,Andy Barkett,2002-01-25,Tampa Bay Devil Rays,PIT,27,0.2,1,17,46,5,14,1,3,1,4,.304,.373,.413,.786,,,,,,,,,,,,
107,David Bell,2002-01-25,San Francisco Giants,SEA,29,5.6,7,726,2383,293,608,61,278,14,179,.255,.309,.396,.705,,,,,,,,,,,,
108,Chris Clapinski,2002-01-25,Los Angeles Dodgers,FLA,30,0.4,2,,,,,,,,,,,,,,,,,,,,,,,,
